ءی	1.0	i
آ 1.0	A 
تبدیلیاں 1.0	td y b dd i l i j A~ 
تجارت 1.0	td i dZ A r y td 
تجارتی 1.0	td i dZ A r y td i 
تجاوز 1.0	td y dZ A v U z 
تجربے 1.0	td y dZ r i b e 
تجوری 1.0	td y dZ o r i 
تجویدالقرآن	1.0	td y dZ v i dd A l q U r A n
تجھے 1.0	td U dZh e 
تحت 1.0	td y h td 
تحریری 1.0	td y h r i r i 
تحریک 1.0	td E h r i k 
تحصیل 1.0	td y h s i l 
تحفظ 1.0	td y h y f f U z 
تحفے 1.0	td U h f e 
تحقیق 1.0	td y h q i q 
تحقیقات 1.0	td y h q i q A td 
تحلیل 1.0	td y h l i l 
تخت 1.0	td y x td 
تخلیق 1.0	td y x l i q 
تدریسی 1.0	td y dd r i s i 
تذکره 1.0	td y z k i r A 
تر 1.0	td y r 
تربوز 1.0	td y r b u z 
تربوزوں 1.0	td y r b u z o~ 
تربیت 1.0	td y r b i j y td 
تربیتی 1.0	td y r b i j y td i 
تربیلا 1.0	td y r b e l A 
ترتیب 1.0	td y r td i b 
ترجمان 1.0	td y r dZ U m A n 
ترغیب 1.0	td y r 7 i b 
ترقی 1.0	td y r y q q i 
ترک 1.0	td y r k 
ترکیب 1.0	td y r k i b 
تریسٹھ 1.0	td y r e s y t'h 
ترین 1.0	td y r i n 
تسکین 1.0	td y s k i n 
تشخیص 1.0	td y S x i s 
تشدد 1.0	td y S y dd dd U dd 
تشریف 1.0	td y S r i f 
تشکیل 1.0	td y S k i l 
تصادم 1.0	td y s A dd U m 
تصاویر 1.0	td y s A v i r 
تصدیق 1.0	td y s dd i q 
تصور 1.0	td y s y v U r 
تصورات 1.0	td y s O v U r A td 
تصورکرکے	1.0	td y s u r k y r k e
تصویر 1.0	td y s v i r 
تصویروں 1.0	td y s v i r o~ 
تصویریں 1.0	td y s v i r e~ 
تعاقب 1.0	td y A q U b 
تعبیر 1.0	td y b i r 
تعداد 1.0	td y y dd A dd 
تعطیلات 1.0	td y y td i l A td 
تعلق 1.0	td y y l l U q 
تعلقات 1.0	td y y l l U q A td 
تعلیم 1.0	td y y l i m 
تعلیمی 1.0	td y y l i m i 
تعمیر 1.0	td y y m i r 
تعین 1.0	td y y j U n 
تعینات 1.0	td y y j U n A td 
تفریح 1.0	td y f r i 
تفسیر 1.0	td y f s i r 
تفصیل 1.0	td y f s i l 
تفصیلات 1.0	td y f s i l A td 
تفصیلی 1.0	td y f s i l i 
تقریبا 1.0	td y q r i b y n 
تقریبا 1.0	td y q y r i b y n 
تقسیم 1.0	td y q s i m 
تلاش 1.0	td y l A S 
تلفظ 1.0	td y l y f f U z 
تلواریں 1.0	td y l v A r e~ 
تم 1.0	td U m 
تمارا 1.0	td y m A r A 
تماشا 1.0	td y m A S A 
تمام 1.0	td y m A m 
تمنا 1.0	td y m y n n A 
تمهیں 1.0	td U m e~ 
تمهیں 1.0	td U m h e~ 
تنازع 1.0	td y n A z e 
تنازعات 1.0	td y n A z y A td 
تنازعه 1.0	td y n A z i A 
تناسب 1.0	td y n A s U b 
تناظر 1.0	td y n A z U r 
تنخوا	1.0	td n y x A
تنخواه 1.0	td y n x A 
تنخواهوں 1.0	td y n x A h o~ 
تنخواهیں 1.0	td y n x A h e~ 
تندرست 1.0	td y n dd r U s td 
تنظیموں 1.0	td y n z i m o~ 
تنظیمیں 1.0	td y n z i m e~ 
تنقید 1.0	td y n q i dd 
تنگ 1.0	td y N 
تهجی 1.0	td y h y dZ dZ i 
تهه	1.0	td y h A
تهوار 1.0	td y h v A r 
تهواروں 1.0	td y h v A r o~ 
تو 1.0	td o 
تو 1.0	td u 
تواب	1.0	td y v A b
توازن 1.0	td y v A z U n 
توانا 1.0	td U v A n A 
تواناءی 1.0	td U v A n A i 
توجه 1.0	td y v y dZ dZ o 
توسونے	1.0	td o s u n e
توقع 1.0	td y v y q o 
تولتے 1.0	td o l td e 
تونهیں	1.0	td i~
تونگری 1.0	td y v y N g y r i 
توپ 1.0	td o p 
توڑ 1.0	td o r' 
تک 1.0	td U k 
تک 1.0	td y k 
تکلیف 1.0	td y k l i f 
تکنیک 1.0	td y k n i k 
تگڑا 1.0	td y g r' A 
تگڑے 1.0	td y g r' e 
تھا 1.0	tdh A 
تھرا 1.0	tdh y r r A 
تھری 1.0	tdh y r i 
تھوڑی 1.0	tdh o r' i 
تھوڑے 1.0	tdh o r' Y 
تھک 1.0	tdh y k 
تھکا 1.0	tdh y k A 
تھکتی 1.0	tdh y k td i 
تھی 1.0	tdh i 
تھیں 1.0	tdh i~ 
تھے 1.0	tdh e 
تیار 1.0	td j A r 
تیار 1.0	td y j A r 
تیاری 1.0	td y j A r i 
تیرا 1.0	td e r A 
تیراندازی 1.0	td i r y n dd A z i 
تیراکی 1.0	td Y r A k i 
تیره 1.0	td e r A 
تیری 1.0	td e r i 
تیز 1.0	td e z 
تیزی 1.0	td e z i 
تیس 1.0	td i s 
تیسری 1.0	td i s r i 
تین 1.0	td i n 
تیونسی	1.0	td i o n s i
ثابت 1.0	s A b i td 
ثبوت 1.0	s U b u td 
ثمرین 1.0	s y m r i n 
ثواب 1.0	s y v A b 
ثے 1.0	s e 
جا 1.0	dZ A 
جاءز 1.0	dZ A i z 
جاءزه 1.0	dZ A i z A 
جاءیداد 1.0	dZ A i dd A dd 
جاءیں 1.0	dZ A e~ 
جاءے 1.0	dZ A e 
جاب 1.0	dZ A b 
جاب 1.0	dZ O b 
جات 1.0	dZ A td 
جاتا 1.0	dZ A td A 
جاتااور	1.0	dZ A td A o r
جاتاهے	1.0	dZ A td A h e
جاتی 1.0	dZ A td i 
جاتیں 1.0	dZ A td i~ 
جاتے 1.0	dZ A td e 
جادو 1.0	dZ A dd u 
جارحیت	1.0	dZ A r e h y j y td
جارها	1.0	dZ A r y h A
جارهی	1.0	dZ A r y h i
جاری 1.0	dZ A r i 
جاسوس 1.0	dZ A s u s 
جاسویا	1.0	dZ A s y v i j A
جاسکتا	1.0	i s k td A
جامع 1.0	dZ A m i A m 
جامعه 1.0	dZ A m i A 
جان 1.0	dZ A n 
جانا 1.0	dZ A n A 
جانب 1.0	dZ A n i b 
جانتی 1.0	dZ A n td i 
جانتے 1.0	dZ A n td e 
جاننے 1.0	dZ A n n e 
جانوروں 1.0	dZ A n v y r o~ 
جانی 1.0	dZ A n i 
جانیں 1.0	dZ A n i~ 
جانے 1.0	dZ A n e 
جاکر 1.0	dZ A k y r 
جاگتی 1.0	dZ A g td i 
جاگتے 1.0	dZ A g td e 
جب 1.0	dZ y b 
جبر 1.0	dZ y b r 
جبکه 1.0	dZ y b k e 
جتنا 1.0	dZ i td n A 
جتنی 1.0	dZ i td n i 
جدا 1.0	dZ U dd A 
جدوجهد 1.0	dZ i dd dd o dZ y h y dd 
جدید 1.0	dZ y dd i dd 
جذبا	1.0	dZ y z y b A
جذبات 1.0	dZ y z b A td 
جذبه 1.0	dZ y z b A 
جراءم 1.0	dZ y r A e m 
جراءم 1.0	dZ y r A i m 
جران	1.0	dZ y r A n
جرم 1.0	dZ U r m 
جرمانه 1.0	dZ U r m A n A 
جزیره 1.0	dZ y z i r A 
جس 1.0	dZ i s 
جسامت 1.0	dZ y s A m y td 
جسم 1.0	dZ i s m 
جسمانی 1.0	dZ i s m A n i 
جسے 1.0	dZ i s e 
جشن 1.0	dZ y S n 
جعفر 1.0	dZ y y f y r 
جعلی 1.0	dZ y y l i 
جفاکش 1.0	dZ y f A k y S 
جلانے 1.0	dZ y l A n e 
جلتے 1.0	dZ y l td e 
جلد 1.0	dZ i l dd 
جلد 1.0	dZ y l dd 
جلدی 1.0	dZ y l dd i 
جلسه 1.0	dZ y l s A 
جلن 1.0	dZ y l y n 
جلنے 1.0	dZ y l n e 
جلوه 1.0	dZ y l v A 
جم 1.0	dZ y m 
جماعتوں 1.0	dZ y m A y td o~ 
جمع 1.0	dZ y m A 
جمعرات 1.0	dZ U m e r A td 
جمعه 1.0	dZ U m A 
جمعه 1.0	dZ U m e 
جملے 1.0	dZ U m l e 
جمناسٹک 1.0	dZ i m n A s t' i k 
جمهوریت 1.0	dZ y m h u r i j y td 
جمهوریه 1.0	dZ y m h u r i j A 
جموں 1.0	dZ y m u~ 
جن 1.0	dZ i n 
جناب 1.0	dZ y n A b 
جناح 1.0	dZ i n A 
جنجوعه 1.0	dZ y n dZ u A 
جنجھور	1.0	dZ y n dZh o r
جنرل 1.0	dZ y n r y l 
جنسی 1.0	dZ i n s i 
جنم 1.0	dZ y n y m 
جنهوں 1.0	dZ i n h o~ 
جنهیں 1.0	dZ i n h e~ 
جنوبی 1.0	dZ U n u b i 
جنوری 1.0	dZ y n v y r i 
جنگ 1.0	dZ y N 
جنگل 1.0	dZ y N g y l 
جنید 1.0	dZ U n e dd 
جهاز 1.0	dZ y h A z 
جهاں 1.0	dZ y h A~ 
جهنوں	1.0	dZ y h n o~
جو 1.0	dZ o 
جوا 1.0	dZ U v A 
جواءنٹ 1.0	dZ U v A i n t' 
جواب 1.0	dZ y v A b 
جوان 1.0	dZ y v A n 
جوده	1.0	dZ u dd A
جوس 1.0	dZ u s 
جولاءی 1.0	dZ u l A i 
جولیٹ	1.0	dZ u l i t'
جون 1.0	dZ u n 
جوهڑ 1.0	dZ o h y r' 
جوں 1.0	dZ u~ 
جڑ 1.0	dZ U r' 
جڑی 1.0	dZ U r' i 
جگا 1.0	dZ y g g A 
جگه 1.0	dZ y g A 
جگهوں 1.0	dZ y g y h o~ 
جھانکا 1.0	dZh A n k A 
جھاڑ 1.0	dZh A r' 
جھجکتے 1.0	dZh i dZ y k td e 
جھلک 1.0	dZh y l y k 
جھنجھٹ 1.0	dZh y n dZh y t' 
جھوٹ 1.0	dZh u t' 
جھڑتا 1.0	dZh y r' td A 
جھک 1.0	dZh y k 
جھکاءے 1.0	dZh U k A e 
جھگڑا 1.0	dZh y g r' A 
جھیل 1.0	dZh i l 
جھیلوں 1.0	dZh i l o~ 
جی 1.0	dZ i 
جیتا 1.0	dZ i td A 
جیتنا 1.0	dZ i td n A 
جیتی 1.0	dZ i td i 
جیسا 1.0	dZ Y s A 
جیسی 1.0	dZ Y s i 
جیسے 1.0	dZ Y s e 
جیل 1.0	dZ e l 
جیلسی 1.0	dZ Y l s i 
جینا 1.0	dZ i n A 
جینے 1.0	dZ i n e 
حاد 1.0	h A dd 
حادثات 1.0	h A dd i s A td 
حادثے 1.0	h A dd s e 
حاسدا	1.0	h A s i dd A
حاصل 1.0	h A s i l 
حاضر 1.0	h A z i r 
حاضری 1.0	h A z i r i 
حافظ 1.0	h A f i z 
حافظه 1.0	h A f i z A 
حافظوں 1.0	h A f i z o~ 
حافظے 1.0	h A f i z e 
حال 1.0	h A l 
حالات	1.0	h A l A td
حالات 1.0	h A l A td 
حالانکه 1.0	h A l A n k e 
حالت 1.0	h A l y td 
حالیه 1.0	h A l i j A 
حامد 1.0	h A m i dd 
حامل 1.0	h A m i l 
حامی 1.0	h A m i 
حامیوں 1.0	h A m i o~ 
حبس 1.0	h y b s 
حتمی 1.0	h y td m i 
حجر 1.0	h i dZ r 
حجروں 1.0	h U dZ r o~ 
حجم 1.0	h y dZ m 
حد 1.0	h y dd 
حدتک	1.0	h y dd dd y td k
حدیث 1.0	h y dd i s 
حرارت 1.0	h y r A r y td 
حرام 1.0	h y r A m 
حروف 1.0	h U r u f 
حرکات 1.0	h y r k A td 
حرکت 1.0	h y r k y td 
حریت 1.0	h U r i j y td 
حریف 1.0	h y r i f 
حریفوں 1.0	h y r i f o~ 
حزب 1.0	h i z b 
حساب 1.0	h i s A b 
حسن 1.0	h U s n 
حسن 1.0	h y s n 
حسن 1.0	h y s y n 
حسنی 1.0	h y s n i 
حسین 1.0	h U s Y n 
حصه 1.0	h i s s A 
حصول 1.0	h U s u l 
حصے 1.0	h i s e 
حصے 1.0	h i s s e 
حضرات 1.0	h y z r A td 
حضرت 1.0	h y z r y td 
حضور 1.0	h U z u r 
حضوری 1.0	h U z u r i 
حفاظتی 1.0	h i f A z td i 
حفظ 1.0	h i f z 
حق 1.0	h y q 
حقاءق 1.0	h y q A i q 
حقانیه	1.0	h y q A n i j A
حققین	1.0	h y q q i q i n
حقو	1.0	h y q u
حقوق 1.0	h U q u q 
حقیقت 1.0	h y q i q y td 
حقیقی 1.0	h y q i q i 
حقیقین	1.0	h y q i q i n
حل 1.0	h y l 
حلق 1.0	h y l q 
حلیم 1.0	h y l i m 
حماقت 1.0	h y m A q y td 
حمله 1.0	h y m l A 
حملے 1.0	h y m l e 
حنا 1.0	h i n A 
حواس 1.0	h y v A s 
حواله 1.0	h y v A l A 
حوالے 1.0	h y v A l e 
حوریں 1.0	h u r e~ 
حوصله 1.0	h O s y l A 
حوصلی	1.0	h y v y s l i
حکام 1.0	h U k k A m 
حکایت 1.0	h i k A j y td 
حکم 1.0	h U k m 
حکمرانوں 1.0	h U k m y r A n o~ 
حکمرانی 1.0	h U k m r A n i 
حکومت 1.0	h U k u m y td 
حکومت 1.0	h y k u m y td 
حکومتوں 1.0	h U k u m td o~ 
حکومتوں 1.0	h U k u m y td o~ 
حکومتوں 1.0	h y k u m td o~ 
حکومتوں 1.0	h y k u m y td o~ 
حکومتیں 1.0	h U k u m td e~ 
حکومتیں 1.0	h U k u m y td e~ 
حکومتیں 1.0	h y k u m td e~ 
حکومتیں 1.0	h y k u m y td e~ 
حکیم 1.0	h y k i m 
حیاتی 1.0	h y j A td i 
حیتوں	1.0	h i j y td o~
حیثیت 1.0	h Y s i j y td 
حیدر 1.0	h Y dd y r 
حیران 1.0	h e r A n 
حیرانگی 1.0	h Y r A N g i 
حیرت 1.0	h Y r y td 
خاتمه 1.0	x A td i m A 
خاتمے 1.0	x A td i m e 
خاتون 1.0	x A td u n 
خادم 1.0	x A dd i m 
خارجه 1.0	x A r i dZ A 
خارجی 1.0	x A r dZ i 
خاص 1.0	x A s 
خاصا 1.0	x A s A 
خاصه 1.0	x A s A 
خالد 1.0	x A l i dd 
خاله 1.0	x A l A 
خالو 1.0	x A l u 
خاموشی 1.0	x A m o S i 
خامیوں 1.0	x A m i o~ 
خان 1.0	x A n 
خاندان 1.0	x A n dd A n 
خاندانی 1.0	x A n dd A n i 
خانه 1.0	x A n A 
خانے 1.0	x A n e 
خاوند 1.0	x A v i n dd 
خاک 1.0	x A k 
خاکه 1.0	x A k A 
خاں 1.0	x A~ 
خبر 1.0	x y b y r 
خبردار 1.0	x y b y r dd A r 
خبریں 1.0	x y b r e~ 
خبطیوں 1.0	x y b td i o~ 
ختم 1.0	x y td m 
خدا 1.0	x U dd A 
خدشه 1.0	x y dd S A 
خدمات 1.0	x i dd m A td 
خدمت 1.0	x i dd m y td 
خراب 1.0	x y r A b 
خرابیوں 1.0	x y r A b i o~ 
خرچ 1.0	x y r tS 
خرید 1.0	x y r i dd 
خریدنے 1.0	x y r i dd n e 
خزانه 1.0	x y z A n A 
خزانوں 1.0	x y z A n o~ 
خزانے 1.0	x y z A n e 
خساره 1.0	x y s A r A 
خسارے 1.0	x y s A r e 
خشک 1.0	x U S k 
خصوصا 1.0	x U s u s y n 
خصوصی 1.0	x U s u s i 
خط 1.0	x y td 
خطاب 1.0	x i td A b 
خطرناک 1.0	x y td y r n A k 
خطرے 1.0	x y td r e 
خطه 1.0	x i td td A 
خطیب 1.0	x y td i b 
خطے 1.0	x i td td e 
خفیه 1.0	x U f j A 
خلاءی 1.0	x y l A i 
خلاف 1.0	x i l A f 
خلق 1.0	x U l q 
خلل 1.0	x y l y l 
خلیات 1.0	x y l i j A td 
خلیجی 1.0	x y l i dZ i 
خو 1.0	x u 
خوا	1.0	x A
خواب 1.0	x A b 
خوابوں 1.0	x A b o~ 
خوابیں	1.0	x i~
خواتین 1.0	x o A td i n 
خواستگار 1.0	x A s td g A r 
خواندگی 1.0	x A n dd y g i 
خواه 1.0	x A 
خواهاں 1.0	x A h A~ 
خواهش 1.0	x A h i S 
خواهشات 1.0	x A h i S A td 
خوب 1.0	x u b 
خوبصورت 1.0	x u b s u r y td 
خود 1.0	x U dd 
خودکار 1.0	x U dd k A r 
خودکشی 1.0	x U dd k U S i 
خوراک 1.0	x U r A k 
خوش 1.0	x U S 
خوشبو 1.0	x U S b u 
خوشبودار 1.0	x U S b u dd A r 
خوشحالی 1.0	x U S h A l i 
خوشی 1.0	x U S i 
خوف 1.0	x O f 
خوفزده 1.0	x O f z y dd A 
خوفناک	1.0	x u f y n A k
خون 1.0	x u n 
خٹک 1.0	x y t' y k 
خپلو 1.0	x y p l u 
خیال 1.0	x y j A l 
خیبر 1.0	x Y b y r 
خیبرپختونخوا	1.0	x Y b y r p U x td u n y x A
خیر 1.0	x Y r 
خیرات 1.0	x Y r A td 
خیرجب	1.0	i r dZ y b
خیمه 1.0	x Y m A 
داءیں 1.0	dd A e~ 
داخل 1.0	dd A x i l 
داخله 1.0	dd A x i l A 
داخلی 1.0	dd A x i l i 
داخلے 1.0	dd A x i l e 
دار 1.0	dd A r 
دارالحکومت 1.0	dd A r U l h U k u m y td 
داری 1.0	dd A r i 
داریا	1.0	dd A r i j A
داستان 1.0	dd A s td A n 
داغ	1.0	dd A 7
داقبال	1.0	dd A q y b A l
دان 1.0	dd A n 
دانسته 1.0	dd A n i s td A 
دایاں 1.0	dd A j A~ 
دبءی	1.0	dd y b i
دبانے 1.0	dd y b A n e 
دداشت	1.0	dd U dd A S td
در 1.0	dd y r 
درآمد 1.0	dd y r A m y dd 
درآمدات 1.0	dd y r A m y dd A td 
دراز 1.0	dd y r A z 
دراصل 1.0	dd y r y s y l 
درانی 1.0	dd U r r A n i 
دراوڑ 1.0	dd y r A v y r' 
دربار 1.0	dd y r b A r 
درجه 1.0	dd y r dZ A 
درجے 1.0	dd y r dZ e 
درختوں 1.0	dd y r y x td o~ 
درخواست 1.0	dd y r x A s td 
درد 1.0	dd y r dd 
درست 1.0	dd U r U s td 
درمیان 1.0	dd y r m i j A n 
درمیانے 1.0	dd y r m i j A n e 
دروازه 1.0	dd y r v A z A 
دروازے 1.0	dd y r v A z e 
درکا	1.0	dd y r k A
درکار 1.0	dd y r k A r 
دریاءوں 1.0	dd y r j A o~ 
دریاءے	1.0	dd r i j A e
دریافت 1.0	dd y r j A f td 
دریافتوں 1.0	dd y r j A f td o~ 
دس 1.0	dd y s 
دستخط 1.0	dd y s td x y td 
دسترس 1.0	dd y s td r y s 
دستک 1.0	dd y s td y k 
دستی 1.0	dd y s td i 
دعاوں	1.0	dd o~
دعوت 1.0	dd y y v y td 
دعوی 1.0	dd y y v A 
دفتر 1.0	dd y f td y r 
دل 1.0	dd i l 
دلاتی 1.0	dd i l A td i 
دلداده 1.0	dd i l dd A dd A 
دلدل 1.0	dd y l dd y l 
دلواءیں 1.0	dd y l v A i~ 
دلوں 1.0	dd i l o~ 
دلچسپی 1.0	dd i l tS y s p i 
دلکش 1.0	dd i l k y S 
دلی 1.0	dd i l i 
دم 1.0	dd U m 
دماغ 1.0	dd i m A 7 
دماغی 1.0	dd i m A 7 i 
دمشق 1.0	dd y m i S q 
دن 1.0	dd i n 
دنوں 1.0	dd i n o~ 
دنیا 1.0	dd U n j A 
ده 1.0	dd e 
دهاءی 1.0	dd U h A i 
دهاءیوں 1.0	dd y h A i o~ 
دهانی	1.0	dd y h A n i
دهرا 1.0	dd U h r A 
دهراءی 1.0	dd U h r A i 
دهشت 1.0	dd y h S y td 
دهلی 1.0	dd e h l i 
دهکتی 1.0	dd y h y k td i 
دهی 1.0	dd y h i 
دو 1.0	dd o 
دو 1.0	dd u 
دوا 1.0	dd y v A 
دواں	1.0	dd A~
دوباره 1.0	dd o b A r A 
دوبھر 1.0	dd o bh y r 
دور 1.0	dd O r 
دور 1.0	dd o r 
دور 1.0	dd u r 
دوران 1.0	dd o r A n 
دورحکومت 1.0	dd O r e h y k u m y td 
دوره 1.0	dd o r A 
دورکے	1.0	dd u r k e
دورے 1.0	dd O r e 
دوست 1.0	dd o s td 
دوستوں 1.0	dd o s td o~ 
دوستی 1.0	dd o s td i 
دوسرا 1.0	dd u s r A 
دوسروں 1.0	dd u s r o~ 
دوسری 1.0	dd u s r i 
دوسرے 1.0	dd u s r e 
دولت 1.0	dd O l y td 
دونوں 1.0	dd o n o~ 
دوڑ 1.0	dd O r' 
دوگنی	1.0	dd o g n i
دکان 1.0	dd U k A n 
دکھ 1.0	dd U kh 
دکھا 1.0	dd U kh A 
دکھاءی 1.0	dd i kh A i 
دکھاءیں 1.0	dd i kh A i~ 
دکھاتی 1.0	dd i kh A td i 
دکھاتے 1.0	dd i kh A td e 
دکھایا 1.0	dd i kh A j A 
دکھلاوے 1.0	dd i kh l A v e 
دھاریوں 1.0	ddh A r i o~ 
دھارے 1.0	ddh A r e 
دھاڑ 1.0	ddh A r' 
دھبه 1.0	ddh y b b A 
دھبوں 1.0	ddh y b b o~ 
دھرتی 1.0	ddh y r td i 
دھمکی 1.0	ddh y m k i 
دھنستا 1.0	ddh y n s td A 
دھنسنے 1.0	ddh y n s n e 
دھنگ 1.0	ddh y N 
دھو 1.0	ddh o 
دھوم 1.0	ddh u m 
دھوکه 1.0	ddh o k A 
دھڑ 1.0	ddh y r' 
دھڑا 1.0	ddh y r' A 
دھڑنگ 1.0	ddh y r' y N 
دھڑکتا 1.0	ddh y r' y k td A 
دھکا 1.0	ddh y k k A 
دھیمی 1.0	ddh i m i 
دی 1.0	dd i 
دیءے	1.0	dd i e
دیا 1.0	dd i A 
دیا 1.0	dd i j A 
دیابھابی	1.0	dd i j A bh A b i
دیاهے	1.0	dd i j A h e
دیتا 1.0	dd e td A 
دیتاهے	1.0	dd i j y td A h e
دیتی 1.0	dd e td i 
دیتے 1.0	dd e td e 
دیر 1.0	dd i r 
دیش 1.0	dd e S 
دین 1.0	dd i n 
دینا 1.0	dd i n A 
دینی 1.0	dd i n i 
دینے 1.0	dd e n e 
دیهات 1.0	dd e h A td 
دیهاتی 1.0	dd e h A td i 
دیهاتیوں 1.0	dd e h A td i o~ 
دیواروں 1.0	dd i v A r o~ 
دیوانه 1.0	dd i v A n A 
دیٹ	1.0	dd e t'
دیپ 1.0	dd i p 
دیکنھے	1.0	dd i k e
دیکھ 1.0	dd e kh 
دیکھا 1.0	dd e kh A 
دیکھاوا	1.0	dd e kh A v A
دیکھایاجاتاهے	1.0	dd e kh A j A dZ A td A h e
دیکھتا 1.0	dd e kh td A 
دیکھتے 1.0	dd e kh td e 
دیکھنا 1.0	dd e kh n A 
دیکھنے 1.0	dd e kh n e 
دیکھی 1.0	dd e kh i 
دیکھیں 1.0	dd e kh e~ 
دیکھے 1.0	dd e kh e 
دیگ 1.0	dd e g 
دیگر 1.0	dd i g y r 
دیں 1.0	dd e~ 
دیں 1.0	dd i~ 
دیے 1.0	dd i e 
دے 1.0	dd e 
ذاءقه 1.0	z A e q A 
ذاءقے 1.0	z A e q e 
ذات 1.0	z A td 
ذاتی 1.0	z A td i 
ذخاءر 1.0	z y x A i r 
ذخیره 1.0	z y x i r A 
ذخیرے 1.0	z y x i r e 
ذرا 1.0	z y r A 
ذراءع 1.0	z y r A e 
ذریعه 1.0	z y r i A 
ذریعے 1.0	z y r i e 
ذمه 1.0	z i m m A 
ذهانت 1.0	z y h A n y td 
ذهن 1.0	z i h n 
ذهنوں 1.0	z i h n o~ 
ذهنی 1.0	z i h n i 
ذهین 1.0	z y h i n 
ذکر 1.0	z i k r 
ر	1.0	r
را 1.0	r A 
راءی 1.0	r A i 
راءے 1.0	r A e 
رابطه 1.0	r A b i td A 
رابطوں 1.0	r A b i td o~ 
رات 1.0	r A td 
راجستھان	1.0	r A dZ i s tdh A n
راحت 1.0	r A h y td 
راز 1.0	r A z 
راست 1.0	r A s td 
راسته 1.0	r A s td A 
راستے 1.0	r A s td e 
راشد 1.0	r A S i dd 
رال 1.0	r A l 
رام 1.0	r A m 
راهداری 1.0	r A h dd A r i 
راهنماءی 1.0	r A h n U m A i 
راولا 1.0	r A v l A 
راولپنڈی 1.0	r A v y l p i n d' i 
راوی 1.0	r A v i 
رب 1.0	r y b 
ربانی 1.0	r y b b A n i 
رجمنٹ 1.0	r i dZ m i n t' 
رس 1.0	r y s 
رساءی 1.0	r y s A i 
رسد 1.0	r y s y dd 
رسولی 1.0	r y s O l i 
رسومات 1.0	r U s u m A td 
رسک 1.0	r i s k 
رشتوں 1.0	r i S td o~ 
رشتے 1.0	r i S td e 
رشید 1.0	r y S i dd 
رضا 1.0	r y z A 
رضاکار 1.0	r y z A k A r 
رضاکاروں 1.0	r y z A k A r o~ 
رضی 1.0	r y z i 
رعایا 1.0	r i A j A 
رفتار 1.0	r y f td A r 
رقم 1.0	r y q y m 
رن 1.0	r y n 
رند 1.0	r i n dd 
رنگ 1.0	r i N 
رنگیلا 1.0	r y N g i l A 
رنگے 1.0	r y N g e 
ره 1.0	r A 
ره 1.0	r e 
رها 1.0	r A 
رها 1.0	r i h A 
رها 1.0	r y h A 
رهاءش 1.0	r y h A i S 
رهاءشی 1.0	r y h A i S i 
رهاءشیوں 1.0	r y h A i S i o~ 
رهاءی 1.0	r i h A i 
رهتا 1.0	r y h td A 
رهتاهے	1.0	r y h td A h e
رهتی 1.0	r E h td i 
رهتے 1.0	r E h td e 
رهنا 1.0	r E h n A 
رهنما 1.0	r y h n U m A 
رهنماءوں 1.0	r y h n U m A o~ 
رهنے 1.0	r y h n e 
رهی 1.0	r i 
رهی 1.0	r y h i 
رهی 1.0	r y i 
رهیں 1.0	r y h i~ 
رهے 1.0	r e 
رهے 1.0	r y e 
رهے 1.0	r y h e 
رو 1.0	r u 
روانه 1.0	r v A n A 
روانه 1.0	r y v A n A 
رواں 1.0	r U v A~ 
روایت 1.0	r i v A j y td 
روایتی 1.0	r i v A j y td i 
روتی 1.0	r o td i 
روتے 1.0	r o td e 
روح 1.0	r u 
روز 1.0	r u z 
روزانه 1.0	r o z A n A 
روزمره 1.0	r o z m y r r A 
روزه 1.0	r o z A 
روزگار 1.0	r o z g A r 
روشن 1.0	r O S y n 
روشنی 1.0	r O S n i 
رومیو 1.0	r O m i o 
رونے 1.0	r o n e 
روهتاس 1.0	r O h td A s 
روٹیوں 1.0	r o t' i o~ 
روپ 1.0	r u p 
روپے 1.0	r u p e 
روڈ 1.0	r o d' 
روکاوٹ	1.0	r o k A v y t'
روکنے 1.0	r o k n e 
رپورٹ 1.0	r i p o r t' 
رپورٹس 1.0	r i p o r t' s 
رپورٹیں 1.0	r i p o r t' e~ 
رک 1.0	r U k 
رکاوٹوں 1.0	r U k A v y t' o~ 
رکاوٹیں 1.0	r U k A v y t' e~ 
رکھ 1.0	r y kh 
رکھا 1.0	r y kh kh A 
رکھااور	1.0	r y kh A o r
رکھاهےاس	1.0	r y kh A h e i s
رکھتا 1.0	r y kh td A 
رکھتی 1.0	r y kh td i 
رکھتے 1.0	r y kh td e 
رکھنا 1.0	r y kh n A 
رکھنی 1.0	r y kh n i 
رکھنے 1.0	r y kh n e 
رکھی 1.0	r y kh i 
رکھیں 1.0	r y kh i~ 
رکھیے 1.0	r y kh j e 
رکھے 1.0	r y kh e 
ری 1.0	r i 
ریاست 1.0	r i j A s y td 
ریاستی 1.0	r i j A s y td i 
ریجمنٹ 1.0	r Y dZ m y n t' 
ریزیڈنٹ 1.0	r Y z i d' y n t' 
ریستوران 1.0	r Y s td u r A n 
ریسرچ 1.0	r i s y r tS 
ریسکیو 1.0	r Y s k i j u 
ریل 1.0	r i l 
ریلا 1.0	r e l A 
ریلوے 1.0	r e l v e 
ریلی 1.0	r Y l i 
ریلے 1.0	r e l e 
رینج 1.0	r e n dZ 
رینجرز 1.0	r e n dZ y r z 
ریڈیو 1.0	r e d' j o 
ریڑھی 1.0	r e r'h i 
ریکارڈ 1.0	r i k A r d' 
